feature,importance_mean_mwh,importance_std_mwh
day_of_week,23752.307791705112,1012.5151731181622
lag_1,21583.571265256294,1012.8529784414953
lag_7,7552.942465190823,141.3848010946669
is_holiday,2931.38352155316,297.16796788031627
lag_364,2372.0150940745852,182.92916493917738
temperature_max_c,1765.7278225172727,155.43449576559897
rolling_mean_7,1761.2338573509526,203.17029399914202
temperature_mean_c,1544.2976753949206,92.72184594450817
solar_radiation_mj_m2,834.8715796013444,214.47908617018277
lag_1_minus_7,827.2819734808772,158.26553248620357
temperature_min_c,733.5935365889834,115.33844914251871
day_of_year_cos,425.91305344853276,60.09635481219682
day_of_year_sin,414.00833371455724,57.98654522593249
is_day_before_holiday,382.01912476164694,61.036719019773116
heating_degree_days,226.06458185187807,31.46178679008189
lag_28,163.29266116442045,71.48034095702492
rolling_mean_28,152.3332336941737,67.34335948583686
week_of_year_cos,139.43616118049727,46.281716372604514
precipitation_mm,117.40650754654962,33.949717346405606
city_temperature_spread_c,98.08744561408844,26.044844645675216
month,92.22841981497822,70.6516936271993
rolling_mean_56,82.72133270522545,72.97572514973668
rolling_std_7,73.57762128003924,122.86056251530214
lag_14,44.337062312329635,34.39288375860486
is_day_after_holiday,28.000935164477823,19.322069634053936
week_of_year_sin,3.884462508821798,10.946284459667503
is_weekend,0.0,0.0
is_bridge_day,0.0,0.0
cooling_degree_days,0.0,0.0
wind_speed_max_kmh,-3.181960965457165,68.39206452965114
temperature_range_c,-15.861843317989496,12.23533760050453
rolling_std_28,-81.33424249551854,61.589453674057204
