temperature_bin_c,days,avg_demand_mwh,avg_heating_degree_days,avg_cooling_degree_days
4,15,804604.5936666668,12.884000000000002,0.0
6,78,756637.2274871795,10.701538461538458,0.0
8,166,729634.3978975901,8.947590361445785,0.0
10,297,717292.0483737374,6.873872053872055,0.0
12,333,701675.1934324321,5.056396396396396,0.0
14,287,662408.2969721257,3.0707317073170706,0.0
16,232,637178.3977715517,0.9961206896551708,0.0
18,185,643064.9132486485,0.0,0.0
20,247,655957.8429271254,0.0,0.0
22,222,686943.8768963966,0.0,0.9909909909909924
24,267,719095.8888202247,0.0,3.0724344569288404
26,177,743416.4654011294,0.0,4.846892655367232
28,49,778195.4030204081,0.0,6.642040816326534
