date,demand_mwh,year,month,day_of_week
2021-01-12,875118.684,2021,1,2
2021-01-13,874914.272,2021,1,3
2021-01-14,873577.23,2021,1,4
2021-01-08,872357.353,2021,1,5
2019-01-11,867181.886,2019,1,5
2019-01-22,864855.303,2019,1,2
2020-01-21,862132.604,2020,1,2
2025-07-02,861178.961,2025,7,3
2019-07-24,860191.27,2019,7,3
2021-01-15,859355.795,2021,1,5
2019-07-23,857696.956,2019,7,2
2019-01-10,857323.124,2019,1,4
2025-07-01,857059.05,2025,7,2
2025-07-03,856810.16,2025,7,4
2019-01-23,854462.174,2019,1,3
2021-01-07,854323.166,2021,1,4
2021-01-11,851740.825,2021,1,1
2021-01-20,850299.079,2021,1,3
2019-01-17,849875.833,2019,1,4
2019-01-18,848781.942,2019,1,5
